i,time,side,entry,sl,tp,atr,R,risk_usd,pnl_usd,equity_after,outcome
60,2025-05-09T05:11:00+00:00,sell,1.11989,1.12023,1.11887,0.00023,-1.0,2.6,-2.6,127.22,SL
61,2025-05-09T22:22:00+00:00,sell,1.12529,1.12544,1.12484,0.0001,3.0,2.54,7.63,134.85,TP
62,2025-05-09T22:25:00+00:00,sell,1.12508,1.12523,1.12462,0.0001,-1.0,2.7,-2.7,132.15,SL
63,2025-05-09T22:26:00+00:00,sell,1.12501,1.12516,1.12455,0.0001,-1.0,2.64,-2.64,129.51,SL
64,2025-05-09T22:27:00+00:00,sell,1.12491,1.12506,1.12445,0.0001,-1.0,2.59,-2.59,126.92,SL
65,2025-05-09T22:33:00+00:00,sell,1.12485,1.12501,1.12437,0.00011,-1.0,2.54,-2.54,124.38,SL
66,2025-05-09T22:35:00+00:00,sell,1.12482,1.125,1.12428,0.00012,-1.0,2.49,-2.49,121.89,SL
67,2025-05-09T23:46:00+00:00,sell,1.12475,1.12489,1.12434,9e-05,-1.0,2.44,-2.44,119.46,SL
68,2025-05-09T23:47:00+00:00,sell,1.12475,1.12488,1.12435,9e-05,-1.0,2.39,-2.39,117.07,SL
69,2025-05-09T23:48:00+00:00,sell,1.12471,1.12484,1.12432,9e-05,-1.0,2.34,-2.34,114.73,SL
70,2025-05-09T23:49:00+00:00,sell,1.1247,1.12483,1.12432,8e-05,-1.0,2.29,-2.29,112.43,SL
71,2025-05-12T00:02:00+00:00,sell,1.11901,1.1198,1.11665,0.00052,-1.0,2.25,-2.25,110.18,SL
72,2025-05-12T10:00:00+00:00,sell,1.11913,1.1198,1.11712,0.00045,3.0,2.2,6.61,116.79,TP
73,2025-05-12T10:01:00+00:00,sell,1.11955,1.1203,1.1173,0.0005,3.0,2.34,7.01,123.8,TP
74,2025-05-12T10:02:00+00:00,sell,1.1174,1.11835,1.11454,0.00064,-1.0,2.48,-2.48,121.33,SL
75,2025-05-12T10:03:00+00:00,sell,1.11854,1.11956,1.11547,0.00068,3.0,2.43,7.28,128.61,TP
76,2025-05-12T10:04:00+00:00,sell,1.11822,1.11932,1.11493,0.00073,3.0,2.57,7.72,136.32,TP
77,2025-05-12T10:11:00+00:00,sell,1.1175,1.11858,1.11425,0.00072,3.0,2.73,8.18,144.5,TP
78,2025-05-12T10:12:00+00:00,sell,1.11712,1.11817,1.11396,0.0007,3.0,2.89,8.67,153.17,TP
79,2025-05-12T10:13:00+00:00,sell,1.11628,1.11739,1.11294,0.00074,3.0,3.06,9.19,162.36,TP
80,2025-05-12T10:14:00+00:00,sell,1.11586,1.11699,1.11248,0.00075,3.0,3.25,9.74,172.1,TP
81,2025-05-12T10:22:00+00:00,sell,1.11444,1.11547,1.11134,0.00069,3.0,3.44,10.33,182.43,TP
82,2025-05-12T10:23:00+00:00,sell,1.11406,1.11508,1.111,0.00068,3.0,3.65,10.95,193.37,TP
83,2025-05-12T10:25:00+00:00,sell,1.1132,1.11423,1.11012,0.00068,3.0,3.87,11.6,204.98,TP
84,2025-05-12T10:27:00+00:00,sell,1.11228,1.11339,1.10894,0.00074,3.0,4.1,12.3,217.28,TP
85,2025-05-12T10:28:00+00:00,sell,1.11195,1.11307,1.10859,0.00075,-1.0,4.35,-4.35,212.93,SL
86,2025-05-12T10:29:00+00:00,sell,1.11146,1.11261,1.10801,0.00077,-1.0,4.26,-4.26,208.67,SL
87,2025-05-12T11:14:00+00:00,sell,1.10928,1.11031,1.10618,0.00069,-1.0,4.17,-4.17,204.5,SL
88,2025-05-12T11:16:00+00:00,sell,1.10947,1.11052,1.10631,0.0007,-1.0,4.09,-4.09,200.41,SL
89,2025-05-12T13:40:00+00:00,sell,1.10809,1.10867,1.10634,0.00039,-1.0,4.01,-4.01,196.4,SL
90,2025-05-12T13:41:00+00:00,sell,1.10782,1.10842,1.10603,0.0004,-1.0,3.93,-3.93,192.47,SL
91,2025-05-12T13:43:00+00:00,sell,1.10768,1.1083,1.10581,0.00042,-1.0,3.85,-3.85,188.62,SL
92,2025-05-12T19:53:00+00:00,sell,1.1091,1.10943,1.10811,0.00022,3.0,3.77,11.32,199.94,TP
93,2025-05-12T19:54:00+00:00,sell,1.10882,1.10917,1.10777,0.00023,3.0,4.0,12.0,211.94,TP
94,2025-05-12T19:56:00+00:00,sell,1.10878,1.10913,1.10774,0.00023,3.0,4.24,12.72,224.65,TP
95,2025-05-12T19:57:00+00:00,sell,1.10849,1.10885,1.1074,0.00024,3.0,4.49,13.48,238.13,TP
96,2025-05-12T19:58:00+00:00,sell,1.10839,1.10876,1.10729,0.00024,-1.0,4.76,-4.76,233.37,SL
97,2025-05-12T20:30:00+00:00,sell,1.10766,1.10796,1.10675,0.0002,-1.0,4.67,-4.67,228.7,SL
98,2025-05-12T20:32:00+00:00,sell,1.10752,1.10783,1.1066,0.0002,-1.0,4.57,-4.57,224.13,SL
99,2025-05-12T20:33:00+00:00,sell,1.10751,1.10781,1.1066,0.0002,-1.0,4.48,-4.48,219.65,SL
100,2025-05-12T20:38:00+00:00,sell,1.10722,1.10753,1.10629,0.00021,-1.0,4.39,-4.39,215.25,SL
101,2025-05-12T21:09:00+00:00,sell,1.10715,1.10743,1.1063,0.00019,-1.0,4.31,-4.31,210.95,SL
102,2025-05-12T21:10:00+00:00,sell,1.10719,1.10747,1.10635,0.00019,-1.0,4.22,-4.22,206.73,SL
103,2025-05-12T21:18:00+00:00,sell,1.10677,1.10704,1.10597,0.00018,-1.0,4.13,-4.13,202.59,SL
104,2025-05-12T21:19:00+00:00,sell,1.10687,1.10713,1.10608,0.00018,-1.0,4.05,-4.05,198.54,SL
105,2025-05-12T21:31:00+00:00,sell,1.10663,1.10689,1.10585,0.00017,-1.0,3.97,-3.97,194.57,SL
106,2025-05-13T13:00:00+00:00,sell,1.11073,1.11103,1.10982,0.0002,3.0,3.89,11.67,206.25,TP
107,2025-05-13T13:06:00+00:00,sell,1.11039,1.1107,1.10945,0.00021,-1.0,4.12,-4.12,202.12,SL
108,2025-05-13T13:07:00+00:00,sell,1.11,1.11037,1.10888,0.00025,-1.0,4.04,-4.04,198.08,SL
109,2025-05-13T13:09:00+00:00,sell,1.10994,1.1103,1.10885,0.00024,-1.0,3.96,-3.96,194.12,SL
110,2025-05-13T13:10:00+00:00,sell,1.10983,1.11019,1.10876,0.00024,-1.0,3.88,-3.88,190.23,SL
111,2025-05-13T13:40:00+00:00,sell,1.11011,1.11041,1.10921,0.0002,-1.0,3.8,-3.8,186.43,SL
112,2025-05-13T13:42:00+00:00,sell,1.11022,1.11052,1.10931,0.0002,-1.0,3.73,-3.73,182.7,SL
113,2025-05-14T19:30:00+00:00,sell,1.11993,1.12024,1.11899,0.00021,-1.0,3.65,-3.65,179.05,SL
114,2025-05-14T19:40:00+00:00,sell,1.11858,1.11904,1.11721,0.00031,-1.0,3.58,-3.58,175.47,SL
115,2025-05-14T19:41:00+00:00,sell,1.11778,1.11833,1.11614,0.00037,-1.0,3.51,-3.51,171.96,SL
116,2025-05-14T19:42:00+00:00,sell,1.11823,1.11884,1.11639,0.00041,-1.0,3.44,-3.44,168.52,SL
117,2025-05-14T19:43:00+00:00,sell,1.11819,1.11883,1.11627,0.00043,-1.0,3.37,-3.37,165.15,SL
118,2025-05-14T21:04:00+00:00,sell,1.11798,1.11831,1.117,0.00022,-1.0,3.3,-3.3,161.84,SL
119,2025-05-14T21:05:00+00:00,sell,1.11812,1.11845,1.11714,0.00022,-1.0,3.24,-3.24,158.61,SL
120,2025-05-14T21:09:00+00:00,sell,1.11778,1.11812,1.11675,0.00023,-1.0,3.17,-3.17,155.44,SL
121,2025-05-14T21:11:00+00:00,sell,1.11783,1.11818,1.11679,0.00023,-1.0,3.11,-3.11,152.33,SL
122,2025-05-14T21:13:00+00:00,sell,1.11768,1.11802,1.11666,0.00023,-1.0,3.05,-3.05,149.28,SL
123,2025-05-14T21:14:00+00:00,sell,1.11746,1.11781,1.11641,0.00023,-1.0,2.99,-2.99,146.29,SL
124,2025-05-14T21:27:00+00:00,sell,1.11738,1.11771,1.1164,0.00022,-1.0,2.93,-2.93,143.37,SL
125,2025-05-15T14:33:00+00:00,sell,1.11873,1.11909,1.11766,0.00024,-1.0,2.87,-2.87,140.5,SL
126,2025-05-15T14:34:00+00:00,sell,1.11804,1.11845,1.11682,0.00027,-1.0,2.81,-2.81,137.69,SL
127,2025-05-15T14:35:00+00:00,sell,1.11857,1.11902,1.11722,0.0003,-1.0,2.75,-2.75,134.94,SL
128,2025-05-15T14:58:00+00:00,sell,1.11819,1.11856,1.11707,0.00025,-1.0,2.7,-2.7,132.24,SL
129,2025-05-15T14:59:00+00:00,sell,1.11823,1.11859,1.11714,0.00024,-1.0,2.64,-2.64,129.59,SL
130,2025-05-15T17:30:00+00:00,sell,1.11867,1.11917,1.11717,0.00033,-1.0,2.59,-2.59,127.0,SL
131,2025-05-15T17:32:00+00:00,sell,1.11849,1.11897,1.11706,0.00032,-1.0,2.54,-2.54,124.46,SL
132,2025-05-15T18:44:00+00:00,sell,1.11733,1.11776,1.11604,0.00029,-1.0,2.49,-2.49,121.97,SL
133,2025-05-15T20:41:00+00:00,sell,1.11702,1.11731,1.11616,0.00019,-1.0,2.44,-2.44,119.53,SL
134,2025-05-15T20:48:00+00:00,sell,1.11708,1.11733,1.11633,0.00017,-1.0,2.39,-2.39,117.14,SL
135,2025-05-16T12:47:00+00:00,sell,1.11993,1.12022,1.11905,0.0002,3.0,2.34,7.03,124.17,TP
136,2025-05-16T12:48:00+00:00,sell,1.11988,1.12018,1.11899,0.0002,3.0,2.48,7.45,131.62,TP
137,2025-05-16T12:49:00+00:00,sell,1.11983,1.12012,1.11896,0.00019,3.0,2.63,7.9,139.52,TP
138,2025-05-16T12:51:00+00:00,sell,1.11972,1.12001,1.11886,0.00019,-1.0,2.79,-2.79,136.73,SL
139,2025-05-16T12:58:00+00:00,sell,1.11947,1.11979,1.1185,0.00022,-1.0,2.73,-2.73,133.99,SL
140,2025-05-16T12:59:00+00:00,sell,1.1194,1.11972,1.11843,0.00022,-1.0,2.68,-2.68,131.31,SL
141,2025-05-16T13:00:00+00:00,sell,1.11929,1.11961,1.11832,0.00022,-1.0,2.63,-2.63,128.69,SL
142,2025-05-16T13:13:00+00:00,sell,1.11881,1.11914,1.11783,0.00022,-1.0,2.57,-2.57,126.11,SL
143,2025-05-16T13:37:00+00:00,sell,1.11887,1.11916,1.11799,0.0002,-1.0,2.52,-2.52,123.59,SL
144,2025-05-16T17:03:00+00:00,sell,1.11861,1.11912,1.11709,0.00034,-1.0,2.47,-2.47,121.12,SL
145,2025-05-16T17:10:00+00:00,sell,1.11855,1.11911,1.11687,0.00037,3.0,2.42,7.27,128.39,TP
146,2025-05-16T17:11:00+00:00,sell,1.11869,1.11927,1.11694,0.00039,3.0,2.57,7.7,136.09,TP
147,2025-05-16T17:12:00+00:00,sell,1.1185,1.11908,1.11675,0.00039,3.0,2.72,8.17,144.26,TP
