i,time_utc,side,entry,sl,tp,atr,R,outcome,risk_usd,pnl_usd,equity_after
145,2025-08-15T15:40:00+00:00,buy,1.1696,1.16911,1.17106,0.00033,-1.0,SL,1.57,-1.57,155.88
146,2025-08-15T15:41:00+00:00,buy,1.16958,1.16909,1.17106,0.00033,-1.0,SL,1.56,-1.56,154.32
147,2025-08-15T16:47:00+00:00,buy,1.1697,1.16926,1.17102,0.00029,3.0,TP,1.54,4.63,158.95
148,2025-08-15T16:49:00+00:00,buy,1.17037,1.16991,1.17174,0.0003,0.0,timeout,1.59,0.0,158.95
149,2025-08-15T16:50:00+00:00,buy,1.17042,1.16996,1.17181,0.00031,0.0,timeout,1.59,0.0,158.95
150,2025-08-15T17:00:00+00:00,buy,1.17051,1.17008,1.17179,0.00029,0.0,timeout,1.59,0.0,158.95
151,2025-08-15T17:02:00+00:00,buy,1.17084,1.17035,1.1723,0.00032,-1.0,SL,1.59,-1.59,157.37
152,2025-08-15T17:04:00+00:00,buy,1.17101,1.17048,1.17261,0.00035,-1.0,SL,1.57,-1.57,155.79
153,2025-08-15T17:07:00+00:00,buy,1.1711,1.17057,1.1727,0.00036,-1.0,SL,1.56,-1.56,154.23
154,2025-08-18T00:42:00+00:00,buy,1.17113,1.17093,1.17172,0.00013,-1.0,SL,1.54,-1.54,152.69
155,2025-08-18T00:43:00+00:00,buy,1.17117,1.17098,1.17175,0.00013,-1.0,SL,1.53,-1.53,151.16
156,2025-08-18T00:45:00+00:00,buy,1.17117,1.17097,1.17177,0.00013,-1.0,SL,1.51,-1.51,149.65
157,2025-08-18T00:48:00+00:00,buy,1.17117,1.17096,1.1718,0.00014,-1.0,SL,1.5,-1.5,148.16
158,2025-08-18T00:56:00+00:00,buy,1.17126,1.17104,1.17191,0.00014,-1.0,SL,1.48,-1.48,146.67
159,2025-08-19T01:04:00+00:00,buy,1.1665,1.16626,1.16722,0.00016,3.0,TP,1.47,4.4,151.07
160,2025-08-19T01:05:00+00:00,buy,1.16691,1.16663,1.16774,0.00019,-1.0,SL,1.51,-1.51,149.56
161,2025-08-19T01:06:00+00:00,buy,1.16697,1.16669,1.16781,0.00019,-1.0,SL,1.5,-1.5,148.07
162,2025-08-19T01:07:00+00:00,buy,1.16721,1.16692,1.16807,0.00019,-1.0,SL,1.48,-1.48,146.59
163,2025-08-19T01:08:00+00:00,buy,1.16732,1.16703,1.1682,0.0002,-1.0,SL,1.47,-1.47,145.12
164,2025-08-19T09:46:00+00:00,buy,1.16685,1.16659,1.16764,0.00018,3.0,TP,1.45,4.35,149.48
165,2025-08-19T09:47:00+00:00,buy,1.1671,1.16682,1.16795,0.00019,3.0,TP,1.49,4.48,153.96
166,2025-08-19T09:48:00+00:00,buy,1.16716,1.16689,1.16798,0.00018,-1.0,SL,1.54,-1.54,152.42
167,2025-08-19T09:49:00+00:00,buy,1.1671,1.16683,1.1679,0.00018,-1.0,SL,1.52,-1.52,150.9
168,2025-08-19T09:50:00+00:00,buy,1.16732,1.16704,1.16815,0.00018,-1.0,SL,1.51,-1.51,149.39
169,2025-08-19T10:01:00+00:00,buy,1.16757,1.16728,1.16844,0.00019,-1.0,SL,1.49,-1.49,147.89
170,2025-08-19T10:02:00+00:00,buy,1.16762,1.16732,1.16852,0.0002,-1.0,SL,1.48,-1.48,146.41
171,2025-08-19T10:05:00+00:00,buy,1.16771,1.16741,1.1686,0.0002,-1.0,SL,1.46,-1.46,144.95
172,2025-08-19T10:06:00+00:00,buy,1.16801,1.16769,1.16896,0.00021,-1.0,SL,1.45,-1.45,143.5
173,2025-08-19T10:57:00+00:00,buy,1.16831,1.16803,1.16916,0.00019,-1.0,SL,1.44,-1.44,142.07
