i,time_lagos,side,entry,sl,tp,atr,R,outcome,equity_before,risk_usd,pnl_usd,equity_after
422,2025-08-22T07:48:00+01:00,sell,1.15914,1.15936,1.15848,0.00015,-1.0,SL,243.28,2.43,-2.43,240.84
423,2025-08-22T07:58:00+01:00,sell,1.15892,1.15912,1.15831,0.00014,-1.0,SL,240.84,2.41,-2.41,238.44
424,2025-08-22T07:59:00+01:00,sell,1.15892,1.15912,1.15832,0.00013,-1.0,SL,238.44,2.38,-2.38,236.05
425,2025-08-22T08:20:00+01:00,sell,1.15887,1.15903,1.15838,0.00011,3.0,TP,236.05,2.36,7.08,243.13
426,2025-08-22T08:21:00+01:00,sell,1.15884,1.159,1.15835,0.00011,3.0,TP,243.13,2.43,7.29,250.43
427,2025-08-22T08:23:00+01:00,sell,1.15881,1.15898,1.15831,0.00011,3.0,TP,250.43,2.5,7.51,257.94
428,2025-08-22T08:28:00+01:00,sell,1.15844,1.15862,1.15789,0.00012,-1.0,SL,257.94,2.58,-2.58,255.36
429,2025-08-22T08:29:00+01:00,sell,1.1583,1.1585,1.15771,0.00013,-1.0,SL,255.36,2.55,-2.55,252.81
430,2025-08-22T08:30:00+01:00,sell,1.15828,1.15847,1.1577,0.00013,-1.0,SL,252.81,2.53,-2.53,250.28
431,2025-08-25T10:06:00+01:00,buy,1.17067,1.17044,1.17135,0.00015,3.0,TP,250.28,2.5,7.51,257.79
432,2025-08-25T10:07:00+01:00,buy,1.17102,1.17077,1.17177,0.00017,-1.0,SL,257.79,2.58,-2.58,255.21
433,2025-08-25T10:19:00+01:00,buy,1.17173,1.17149,1.17246,0.00016,-1.0,SL,255.21,2.55,-2.55,252.66
434,2025-08-25T10:20:00+01:00,buy,1.17172,1.17148,1.17244,0.00016,-1.0,SL,252.66,2.53,-2.53,250.13
435,2025-08-26T04:04:00+01:00,buy,1.16301,1.16248,1.1646,0.00035,3.0,TP,250.13,2.5,7.5,257.63
436,2025-08-26T04:05:00+01:00,buy,1.16393,1.16331,1.16578,0.00041,-1.0,SL,257.63,2.58,-2.58,255.06
437,2025-08-26T04:06:00+01:00,buy,1.16379,1.16315,1.16572,0.00043,-1.0,SL,255.06,2.55,-2.55,252.51
438,2025-08-26T04:11:00+01:00,buy,1.16417,1.16346,1.1663,0.00047,-1.0,SL,252.51,2.53,-2.53,249.98
439,2025-08-26T04:13:00+01:00,buy,1.16444,1.16373,1.16656,0.00047,-1.0,SL,249.98,2.5,-2.5,247.48
440,2025-08-26T04:14:00+01:00,buy,1.16488,1.16415,1.16707,0.00049,-1.0,SL,247.48,2.47,-2.47,245.01
441,2025-08-26T04:15:00+01:00,buy,1.16516,1.1644,1.16743,0.00051,-1.0,SL,245.01,2.45,-2.45,242.56
442,2025-08-26T04:36:00+01:00,buy,1.16573,1.16509,1.16764,0.00042,-1.0,SL,242.56,2.43,-2.43,240.13
443,2025-08-26T04:37:00+01:00,buy,1.16575,1.16512,1.16764,0.00042,-1.0,SL,240.13,2.4,-2.4,237.73
444,2025-08-26T11:00:00+01:00,sell,1.16219,1.16253,1.16116,0.00023,-1.0,SL,237.73,2.38,-2.38,235.35
445,2025-08-26T11:06:00+01:00,sell,1.16215,1.16254,1.16098,0.00026,3.0,TP,235.35,2.35,7.06,242.41
446,2025-08-26T11:07:00+01:00,sell,1.16191,1.16232,1.16068,0.00027,3.0,TP,242.41,2.42,7.27,249.69
447,2025-08-26T11:09:00+01:00,sell,1.1613,1.16173,1.16,0.00029,-1.0,SL,249.69,2.5,-2.5,247.19
448,2025-08-26T11:10:00+01:00,sell,1.1614,1.16184,1.16008,0.00029,-1.0,SL,247.19,2.47,-2.47,244.72
449,2025-08-26T11:11:00+01:00,sell,1.16066,1.16115,1.15919,0.00033,-1.0,SL,244.72,2.45,-2.45,242.27
